Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-dawpod28 because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
yloo3
lucylou

Training file_len = 3234143

-----------
|  TRAIN  |
-----------

[0m 8s (847 84%) 3.4140 (3.0029)]
[0m 8s (848 84%) 3.4134 (2.8535)]
[0m 8s (849 84%) 3.4128 (2.9243)]
[0m 8s (850 85%) 3.4125 (3.2013)]
[0m 8s (850 85%) 3.4125 (3.2013)]
[0m 8s (852 85%) 3.4118 (2.5946)]
[0m 8s (855 85%) 3.4113 (2.9607)]
[0m 8s (856 85%) 3.4108 (2.9828)]
[0m 8s (857 85%) 3.4102 (2.8890)]
[0m 8s (858 85%) 3.4091 (2.5404)]
[0m 8s (860 86%) 3.4092 (3.4147)]
[0m 8s (861 86%) 3.4086 (2.9177)]
[0m 8s (862 86%) 3.4072 (2.2182)]
[0m 8s (863 86%) 3.4067 (2.9189)]
[0m 8s (864 86%) 3.4065 (3.2914)]
[0m 8s (870 87%) 3.4078 (3.4163)]
[0m 8s (875 87%) 3.4061 (2.5586)]
[0m 8s (876 87%) 3.4059 (3.2072)]
[0m 8s (877 87%) 3.4054 (3.0105)]
[0m 8s (878 87%) 3.4054 (3.3774)]
[0m 8s (880 88%) 3.4063 (3.2570)]
[0m 8s (889 88%) 3.4046 (2.3998)]
[0m 9s (890 89%) 3.4050 (3.8247)]
[0m 9s (893 89%) 3.4036 (2.2820)]
[0m 9s (894 89%) 3.4027 (2.6112)]
[0m 9s (895 89%) 3.4027 (3.3536)]
[0m 9s (900 90%) 3.4034 (3.5197)]
[0m 9s (903 90%) 3.4026 (3.1909)]
[0m 9s (904 90%) 3.4021 (2.9856)]
[0m 9s (905 90%) 3.4020 (3.2956)]
[0m 9s (906 90%) 3.4017 (3.1569)]
[0m 9s (908 90%) 3.4011 (2.8192)]
[0m 9s (909 90%) 3.4011 (3.3424)]
[0m 9s (910 91%) 3.4012 (3.4684)]
[0m 9s (911 91%) 3.4010 (3.2295)]
[0m 9s (913 91%) 3.4004 (2.7859)]
[0m 9s (914 91%) 3.4001 (3.1605)]
[0m 9s (915 91%) 3.3997 (2.9540)]
[0m 9s (916 91%) 3.3991 (2.8914)]
[0m 9s (918 91%) 3.3991 (3.1422)]
[0m 9s (919 91%) 3.3987 (3.0834)]
[0m 9s (920 92%) 3.3978 (2.5532)]
[0m 9s (920 92%) 3.3978 (2.5532)]
[0m 9s (927 92%) 3.3976 (2.6829)]
[0m 9s (928 92%) 3.3973 (3.1405)]
[0m 9s (929 92%) 3.3967 (2.7846)]
[0m 9s (930 93%) 3.3965 (3.2545)]
[0m 9s (930 93%) 3.3965 (3.2545)]
[0m 9s (931 93%) 3.3955 (2.4676)]
[0m 9s (932 93%) 3.3952 (3.0701)]
[0m 9s (934 93%) 3.3946 (2.6871)]
[0m 9s (935 93%) 3.3939 (2.7068)]
[0m 9s (936 93%) 3.3935 (3.0258)]
[0m 9s (937 93%) 3.3930 (2.8712)]
[0m 9s (939 93%) 3.3928 (3.1806)]
[0m 9s (940 94%) 3.3913 (1.9144)]
[0m 9s (940 94%) 3.3913 (1.9144)]
[0m 9s (941 94%) 3.3910 (3.1681)]
[0m 9s (942 94%) 3.3900 (2.4368)]
[0m 9s (943 94%) 3.3890 (2.4415)]
[0m 9s (944 94%) 3.3887 (3.1517)]
[0m 9s (945 94%) 3.3882 (2.8456)]
[0m 9s (946 94%) 3.3875 (2.7052)]
[0m 9s (947 94%) 3.3867 (2.6956)]
[0m 9s (948 94%) 3.3863 (2.9926)]
[0m 9s (950 95%) 3.3850 (1.9893)]
[0m 9s (950 95%) 3.3850 (1.9893)]
[0m 9s (951 95%) 3.3845 (2.8888)]
[0m 9s (954 95%) 3.3842 (2.9370)]
[0m 9s (955 95%) 3.3842 (3.3457)]
[0m 9s (960 96%) 3.3854 (3.5632)]
[0m 9s (970 97%) 3.3861 (3.0868)]
[0m 9s (980 98%) 3.3844 (3.5128)]
[0m 9s (981 98%) 3.3838 (2.8155)]
[0m 9s (982 98%) 3.3834 (2.9903)]
