Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p2i45w2y because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
y contraries
E
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 33s (728 91%) 3.6292 (3.2208)]
[0m 33s (733 91%) 3.6291 (3.4808)]
[0m 33s (735 91%) 3.6275 (2.4342)]
[0m 33s (736 92%) 3.6275 (3.5835)]
[0m 33s (736 92%) 3.6275 (3.5835)]
[0m 33s (738 92%) 3.6273 (3.0857)]
[0m 33s (739 92%) 3.6267 (3.1516)]
[0m 33s (740 92%) 3.6262 (3.2495)]
[0m 34s (743 92%) 3.6254 (2.9196)]
[0m 34s (744 93%) 3.6239 (2.5527)]
[0m 34s (744 93%) 3.6239 (2.5527)]
[0m 34s (745 93%) 3.6229 (2.8820)]
[0m 34s (746 93%) 3.6226 (3.4084)]
[0m 34s (747 93%) 3.6224 (3.4516)]
[0m 34s (749 93%) 3.6217 (2.8942)]
[0m 34s (750 93%) 3.6217 (3.6074)]
[0m 34s (751 93%) 3.6208 (2.9333)]
[0m 34s (752 94%) 3.6210 (3.7335)]
[0m 34s (753 94%) 3.6192 (2.2961)]
[0m 34s (754 94%) 3.6191 (3.5408)]
[0m 34s (755 94%) 3.6181 (2.8913)]
[0m 34s (756 94%) 3.6167 (2.5169)]
[0m 34s (757 94%) 3.6162 (3.2744)]
[0m 34s (758 94%) 3.6159 (3.3865)]
[0m 34s (760 95%) 3.6181 (4.7441)]
[0m 35s (765 95%) 3.6151 (2.9762)]
[0m 35s (766 95%) 3.6141 (2.8357)]
[0m 35s (767 95%) 3.6134 (3.0907)]
[0m 35s (768 96%) 3.6131 (3.3495)]
[0m 35s (768 96%) 3.6131 (3.3495)]
[0m 35s (769 96%) 3.6122 (2.9251)]
[0m 35s (770 96%) 3.6119 (3.3999)]
[0m 35s (771 96%) 3.6113 (3.1565)]
[0m 35s (773 96%) 3.6111 (3.3163)]
[0m 35s (774 96%) 3.6103 (3.0286)]
[0m 35s (775 96%) 3.6098 (3.2273)]
[0m 35s (776 97%) 3.6093 (3.2368)]
[0m 35s (776 97%) 3.6093 (3.2368)]
[0m 35s (777 97%) 3.6082 (2.7036)]
[0m 35s (778 97%) 3.6081 (3.5327)]
[0m 35s (779 97%) 3.6079 (3.4693)]
[0m 35s (780 97%) 3.6070 (2.9033)]
[0m 35s (781 97%) 3.6059 (2.7787)]
[0m 36s (783 97%) 3.6056 (3.0041)]
[0m 36s (784 98%) 3.6049 (3.0296)]
[0m 36s (784 98%) 3.6049 (3.0296)]
[0m 36s (785 98%) 3.6041 (2.9454)]
[0m 36s (786 98%) 3.6029 (2.7106)]
[0m 36s (787 98%) 3.6024 (3.1999)]
[0m 36s (792 99%) 3.6019 (2.9050)]
[0m 36s (792 99%) 3.6019 (2.9050)]
[0m 36s (793 99%) 3.6013 (3.0685)]
[0m 36s (796 99%) 3.6008 (2.7943)]
[0m 36s (797 99%) 3.6005 (3.3912)]
[0m 36s (798 99%) 3.6005 (3.5770)]
[0m 36s (799 99%) 3.6002 (3.4087)]
[0m 36s (800 100%) 3.5989 (2.5105)]
[0m 36s (800 100%) 3.5989 (2.5105)]
