Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-35x9f4at because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
e thee.

CLAUD
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 5s (516 86%) 3.0420 (2.9092)]
[0m 5s (516 86%) 3.0420 (2.9092)]
[0m 5s (517 86%) 3.0412 (2.6366)]
[0m 5s (518 86%) 3.0404 (2.6085)]
[0m 5s (519 86%) 3.0388 (2.2111)]
[0m 5s (520 86%) 3.0380 (2.6238)]
[0m 5s (521 86%) 3.0363 (2.1569)]
[0m 5s (522 87%) 3.0346 (2.1245)]
[0m 5s (522 87%) 3.0346 (2.1245)]
[0m 5s (523 87%) 3.0338 (2.6452)]
[0m 5s (528 88%) 3.0346 (2.3054)]
[0m 5s (529 88%) 3.0335 (2.4255)]
[0m 5s (530 88%) 3.0319 (2.1872)]
[0m 5s (531 88%) 3.0303 (2.1777)]
[0m 5s (532 88%) 3.0296 (2.6475)]
[0m 5s (533 88%) 3.0282 (2.3185)]
[0m 5s (534 89%) 3.0279 (2.8435)]
[0m 5s (534 89%) 3.0279 (2.8435)]
[0m 5s (535 89%) 3.0261 (2.0943)]
[0m 5s (536 89%) 3.0261 (3.0015)]
[0m 5s (540 90%) 3.0271 (2.3049)]
[0m 5s (541 90%) 3.0260 (2.4349)]
[0m 5s (542 90%) 3.0248 (2.3918)]
[0m 5s (543 90%) 3.0230 (2.0189)]
[0m 5s (544 90%) 3.0229 (2.9739)]
[0m 5s (545 90%) 3.0227 (2.9462)]
[0m 5s (546 91%) 3.0219 (2.5551)]
[0m 5s (546 91%) 3.0219 (2.5551)]
[0m 5s (547 91%) 3.0208 (2.4253)]
[0m 5s (548 91%) 3.0195 (2.3243)]
[0m 5s (549 91%) 3.0178 (2.0505)]
[0m 5s (550 91%) 3.0170 (2.6246)]
[0m 5s (551 91%) 3.0168 (2.8871)]
[0m 5s (552 92%) 3.0184 (3.8829)]
[0m 5s (555 92%) 3.0164 (2.7122)]
[0m 5s (556 92%) 3.0161 (2.8807)]
[0m 5s (558 93%) 3.0178 (3.3781)]
[0m 5s (560 93%) 3.0160 (2.5085)]
[0m 5s (561 93%) 3.0156 (2.7629)]
[0m 5s (562 93%) 3.0155 (2.9736)]
[0m 5s (564 94%) 3.0146 (2.5100)]
[0m 5s (564 94%) 3.0146 (2.5100)]
[0m 5s (565 94%) 3.0139 (2.5733)]
[0m 5s (566 94%) 3.0128 (2.4110)]
[0m 5s (567 94%) 3.0123 (2.7257)]
[0m 6s (570 95%) 3.0140 (2.6192)]
[0m 6s (574 95%) 3.0121 (2.2280)]
[0m 6s (576 96%) 3.0117 (2.8001)]
[0m 6s (576 96%) 3.0117 (2.8001)]
[0m 6s (577 96%) 3.0110 (2.5798)]
[0m 6s (578 96%) 3.0103 (2.6115)]
[0m 6s (579 96%) 3.0099 (2.7798)]
[0m 6s (580 96%) 3.0092 (2.5797)]
[0m 6s (581 96%) 3.0084 (2.5474)]
[0m 6s (582 97%) 3.0068 (2.1132)]
[0m 6s (582 97%) 3.0068 (2.1132)]
[0m 6s (583 97%) 3.0052 (2.0345)]
