Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-askujl9r because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
mortal blessin
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 5s (489 81%) 3.2026 (2.7115)]
[0m 5s (490 81%) 3.2017 (2.7859)]
[0m 5s (491 81%) 3.2015 (3.0992)]
[0m 5s (492 82%) 3.1994 (2.1479)]
[0m 5s (492 82%) 3.1994 (2.1479)]
[0m 5s (498 83%) 3.2017 (3.5431)]
[0m 5s (500 83%) 3.1990 (2.5061)]
[0m 5s (502 83%) 3.1973 (1.9826)]
[0m 5s (504 84%) 3.1985 (3.5561)]
[0m 5s (505 84%) 3.1972 (2.5631)]
[0m 5s (506 84%) 3.1958 (2.4842)]
[0m 5s (507 84%) 3.1947 (2.6334)]
[0m 5s (508 84%) 3.1926 (2.1553)]
[0m 5s (510 85%) 3.1931 (2.6615)]
[0m 5s (512 85%) 3.1919 (2.6158)]
[0m 5s (515 85%) 3.1911 (2.4093)]
[0m 5s (516 86%) 3.1901 (2.6476)]
[0m 5s (516 86%) 3.1901 (2.6476)]
[0m 5s (520 86%) 3.1898 (2.2219)]
[0m 5s (521 86%) 3.1886 (2.5805)]
[0m 5s (522 87%) 3.1883 (3.0179)]
[0m 5s (522 87%) 3.1883 (3.0179)]
[0m 5s (524 87%) 3.1869 (2.4319)]
[0m 5s (525 87%) 3.1848 (2.0680)]
[0m 5s (527 87%) 3.1844 (2.6982)]
[0m 5s (528 88%) 3.1827 (2.3199)]
[0m 5s (528 88%) 3.1827 (2.3199)]
[0m 5s (530 88%) 3.1825 (3.0425)]
[0m 5s (532 88%) 3.1816 (2.6724)]
[0m 5s (534 89%) 3.1811 (2.5458)]
[0m 5s (534 89%) 3.1811 (2.5458)]
[0m 5s (540 90%) 3.1807 (2.4957)]
[0m 5s (540 90%) 3.1807 (2.4957)]
[0m 5s (541 90%) 3.1794 (2.4438)]
[0m 5s (542 90%) 3.1778 (2.3525)]
[0m 5s (543 90%) 3.1771 (2.7658)]
[0m 5s (544 90%) 3.1764 (2.8189)]
[0m 5s (545 90%) 3.1763 (3.1341)]
[0m 5s (546 91%) 3.1751 (2.5059)]
[0m 5s (546 91%) 3.1751 (2.5059)]
[0m 5s (547 91%) 3.1746 (2.8906)]
[0m 6s (548 91%) 3.1741 (2.8892)]
[0m 6s (549 91%) 3.1724 (2.2794)]
[0m 6s (550 91%) 3.1713 (2.5326)]
[0m 6s (551 91%) 3.1709 (2.9563)]
[0m 6s (552 92%) 3.1690 (2.1529)]
[0m 6s (552 92%) 3.1690 (2.1529)]
[0m 6s (558 93%) 3.1701 (3.1957)]
[0m 6s (559 93%) 3.1686 (2.3251)]
[0m 6s (563 93%) 3.1675 (2.5177)]
[0m 6s (564 94%) 3.1669 (2.8319)]
[0m 6s (564 94%) 3.1669 (2.8319)]
[0m 6s (565 94%) 3.1655 (2.3568)]
[0m 6s (566 94%) 3.1651 (2.9601)]
[0m 6s (567 94%) 3.1649 (3.0266)]
[0m 6s (568 94%) 3.1640 (2.6760)]
[0m 6s (569 94%) 3.1640 (3.1448)]
[0m 6s (570 95%) 3.1624 (2.2393)]
[0m 6s (570 95%) 3.1624 (2.2393)]
[0m 6s (571 95%) 3.1611 (2.4413)]
[0m 6s (572 95%) 3.1603 (2.7194)]
[0m 6s (573 95%) 3.1602 (3.0737)]
[0m 6s (574 95%) 3.1586 (2.2321)]
[0m 6s (575 95%) 3.1580 (2.8612)]
[0m 6s (576 96%) 3.1568 (2.4366)]
[0m 6s (576 96%) 3.1568 (2.4366)]
[0m 6s (579 96%) 3.1566 (2.7652)]
[0m 6s (580 96%) 3.1561 (2.8323)]
[0m 6s (581 96%) 3.1551 (2.5856)]
[0m 6s (582 97%) 3.1547 (2.9258)]
[0m 6s (582 97%) 3.1547 (2.9258)]
[0m 6s (588 98%) 3.1557 (2.6176)]
[0m 6s (589 98%) 3.1545 (2.4552)]
[0m 6s (590 98%) 3.1538 (2.7107)]
[0m 6s (591 98%) 3.1531 (2.7328)]
[0m 6s (592 98%) 3.1515 (2.2176)]
[0m 6s (594 99%) 3.1505 (2.3911)]
[0m 6s (594 99%) 3.1505 (2.3911)]
[0m 6s (595 99%) 3.1502 (2.9740)]
[0m 6s (596 99%) 3.1494 (2.6274)]
[0m 6s (597 99%) 3.1481 (2.4221)]
[0m 6s (598 99%) 3.1469 (2.4132)]
[0m 6s (600 100%) 3.1474 (3.2553)]
